Date,portfolio_plot,benchmark_plot,es_only_plot,es_weighted_plot,alts_weighted_plot
2024-03-07,23616400.607356515,5486845.601913364,18365526.129152127,6465103.307354324,4309742.158618683
2024-03-08,23083327.236508254,5452032.952431568,18020893.001839478,6408141.785709618,4250433.402196571
2024-03-11,22960787.144497577,5445655.06245017,17961663.749613233,6397559.159158721,4234888.874736995
2024-03-12,23586220.483280055,5503321.817698641,18496597.47059075,6493595.542568174,4286672.181865835
2024-03-13,23405622.145316523,5493489.237310654,18405387.57346555,6477415.594259,4264530.384949407
2024-03-14,23231419.342063352,5478341.748604833,18264875.029245652,6452359.985817028,4249286.279265413
2024-03-15,22686216.983121198,5422981.580520858,17706250.802617393,6353828.7844323795,4214451.6882480895
2024-03-18,23917361.427641865,5543183.630082377,18855709.7759533,6569535.083533082,4300086.660937433
2024-03-19,24142326.464645453,5571884.134998668,19146585.228317797,6620046.370688322,4307470.83322513
2024-03-20,24718840.194253564,5619718.309859152,19631479.30386775,6704088.631827288,4355648.495071712
2024-03-21,24934776.269545645,5636460.271060322,19801192.23031023,6733182.10143789,4374796.044930781
2024-03-22,24861972.873830292,5626627.690672332,19697717.664376836,6716169.92341163,4373076.157407705
2024-03-25,24693894.756042432,5610682.965718838,19529987.009312388,6688571.730381819,4361482.110477153
2024-03-26,24507474.795753974,5596864.204092477,19384620.441589862,6664589.451443445,4344194.624864516
2024-03-27,24896967.568384144,5642572.415625828,19865448.319441285,6744232.264974443,4361322.350285596
2024-03-28,24885901.795966115,5642838.161041721,19868243.830359027,6744693.507535865,4359085.631598562
2024-04-01,24828365.128778946,5628753.653999466,19720081.751718763,6720235.109067346,4364814.772108322
2024-04-02,24442299.36520236,5591815.041190538,19331505.734152786,6656173.999851644,4338552.495434553
2024-04-03,24631998.206156332,5598192.931171936,19398597.99617857,6667302.513413238,4364970.721388927
2024-04-04,23805661.040741067,5524581.450969968,18624241.47196436,6539637.000110958,4302118.1782165505
2024-04-05,24488397.267177623,5583842.67871379,19188027.40698652,6643945.949237629,4356881.167559896
2024-04-08,24508211.69636556,5584108.424129682,19190556.073680297,6644407.914201084,4360103.532934203
2024-04-09,24655525.076604046,5591549.295774646,19261358.74110599,6657333.374124647,4377829.369743851
2024-04-10,24022034.32581896,5535742.758437415,18682215.28565118,6560784.1797273215,4328837.1683533415
2024-04-11,24709060.340725925,5573478.607494019,19017671.513032958,6619406.844108248,4413961.642694479
2024-04-12,23775825.31373207,5492957.746478872,18301537.857114606,6496665.479745731,4329097.547767171
2024-04-15,23123526.522653047,5425458.410842412,17820445.67641278,6411089.090801558,4267351.526542571
2024-04-16,23059032.952679336,5413234.1217114,17743782.60155408,6397297.135677107,4264629.710330877
2024-04-17,22698721.403162975,5381078.926388519,17531567.74366769,6361039.60351609,4222162.608316682
2024-04-18,22529178.121626724,5366994.4193462655,17438629.712520614,6344997.548101966,4201274.032106231
2024-04-19,22009541.517856505,5318894.49906989,17137301.590697333,6289939.333730353,4140827.6626051385
2024-04-22,22198414.430396087,5365399.946850915,17410776.25828567,6343956.394244031,4140800.9947990696
2024-04-23,22664440.095000517,5428115.865001326,17779631.217013765,6416802.723859314,4180183.551805102
2024-04-24,22706511.28813361,5429178.846664893,17786294.698492233,6418025.905973265,4187146.2438170994
2024-04-25,22521298.484474957,5402338.559659844,17616886.736877143,6387191.9062328935,4173108.6950708185
2024-04-26,22945089.056740712,5454690.406590484,17947316.127354108,6447536.7548566675,4212208.778680014
2024-04-29,23074678.737994194,5471166.622375762,18051309.133494064,6466353.877088692,4223705.243874146
2024-04-30,22376931.395201277,5386128.089290459,17514571.037287828,6369496.83080542,4159251.3296299707
2024-05-01,22217063.076745372,5364336.965187349,17398806.38881062,6348418.663759542,4143300.1837358675
2024-05-02,22557739.29054137,5412171.140047832,17652689.607612718,6394821.900789552,4176548.3982798355
2024-05-03,23048364.173399933,5479404.730268402,18009536.576262332,6459528.751386605,4225126.26793736
2024-05-06,23491011.755020414,5534414.031357958,18346131.338999696,6519961.291028083,4266742.062442838
2024-05-07,23519932.49789185,5542120.648418814,18393299.23230267,6528348.040254898,4266506.631835245
2024-05-08,23505042.704823144,5541057.666755248,18386793.315985017,6527191.183506973,4264561.676000653
2024-05-09,23703252.69673115,5568960.935423863,18557573.61932337,6557572.525419217,4280673.518176051
2024-05-10,23777920.0585731,5576667.55248472,18609102.509658016,6565932.125821216,4288701.0147327725
2024-05-13,23793940.997097544,5575870.316237045,18603765.62517869,6565068.956203653,4292154.429518107
2024-05-14,24042861.484770652,5601381.876162638,18803700.566015515,6600041.968096592,4314191.946227233
2024-05-15,24813070.424666647,5668881.211799097,19429691.701704532,6709877.8221618105,4380600.8985029785
2024-05-16,24693751.11430172,5655328.195588627,19303969.951613043,6688147.584443846,4373722.550443044
2024-05-17,24830010.0472422,5662769.067233592,19376500.75306061,6700096.734354496,4390042.379806596
2024-05-20,25077759.683599938,5667552.48471964,19423160.371651262,6708353.294942541,4428435.609620583
2024-05-21,25192617.643389907,5681902.737177784,19569950.10856827,6732949.282259111,4432481.432470067
2024-05-22,25000387.515105784,5663566.303481265,19382320.49851663,6701549.658174124,4419330.975801527
2024-05-23,24481411.071741357,5618123.837363806,18917325.37795387,6623500.554444291,4379060.663149536
2024-05-24,24964233.27372654,5656656.9226680845,19296838.85739924,6690298.398139804,4421261.742663464
2024-05-28,25188294.767892335,5660111.613074673,19330867.84938883,6696230.572656185,4457023.637114175
2024-05-29,24730757.23452241,5616795.110284347,18887586.224536233,6614166.83479726,4430684.968154486
